id,english,kinyarwanda,example_en,example_rw,etymology,category,contributed_by,source,date_added,created_at
66,Clinical instructions / Doctor's recommendations,Amabwiriza yo kwa muganga,Provide me with the doctor's instructions on how I should behave and the medication I should take.,"Bampe amabwiriza yo kwa muganga yuko ngomba kwitwara, n'imiti ngomba gufata.",'Amabwiriza' = instructions (from 'kubwiriza' = to instruct). 'Yo kwa muganga' = from the doctor. Specifies the clinical source of authority.,Health Systems,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.353361,2026-04-02T21:37:11.353363
37,Closed-ended question,Ikibazo ntangamahitamo y'ibisubizo,All questions in the survey are closed-ended.,Ibibazo byose biri mu bwoko bw'ibibazo ntangamahitamo y'ibisubizo.,'Ntangamahitamo y'ibisubizo' = 'that gives choices of answers.' A functional translation.,Research Methodology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.302322,2026-04-02T21:37:11.302325
48,Compensation,Impozamarira / Inshumbuho / Igihembo,Participants will not receive compensation for taking part in this study.,Nta gihembo giteganijwe mu kugira uruhare muri ubu bushakashatsi.,"Three types: 'impozamarira' (legal/financial), 'inshumbuho' (restitution), 'igihembo' (reward/payment). Context determines the choice.",Research Ethics,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.330498,2026-04-02T21:37:11.330500
47,Computer,Mudasobwa,The collected data will be stored in a password-protected computer.,Amakuru yakusanyijwe azabikwa muri mudasobwa irinzwe n'ijambobanga.,'Mudasobwa' = mu-da-sobwa — 'that which does not make errors.' Negative prefix da- on sobwa (to err).,Technology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.329214,2026-04-02T21:37:11.329216
45,Confidentiality,Ibanga,All participant data will be kept confidential.,Amakuru yose y'abagize uruhare azagumizwa mu ibanga.,'Ibanga' means secret or confidential matter. It carries deep cultural weight — ibanga implies a sacred trust.,Research Ethics,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.324547,2026-04-02T21:37:11.324549
41,Consent form,Inyandikomvugo ntangaburenganzira,Please read the consent form carefully before signing.,Nyabuneka soma inyandikomvugo ntangaburenganzira witonze mbere yo gushyiraho umukono.,'Inyandikomvugo' = inyandiko (writing) + mvugo (speech/statement). 'Ntangaburenganzira' = that gives rights.,Research Ethics,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.317334,2026-04-02T21:37:11.317336
96,Contact information,Amakuru y'uko bamugeraho,Please find my contact information below.,Amakuru y'uko bamugeraho araboneka hano hasi.,'Amakuru' = information. 'Y'uko bamugeraho' = of how to reach them. Literally: 'information about how to reach them.',Administrative,Christophe Mumaragishyika,"SP/PEDS letter (Khris translation, 2025)",2026-04-19T06:16:14.602518,2026-04-19T06:16:14.602521
82,Contraception,Kuringaniza urubyaro,,,'Kuringaniza urubyaro' = birth control. 'Kuringaniza' = to balance/regulate. 'Urubyaro' = childbearing/reproduction.,Reproductive Health,Christophe Mumaragishyika,Search log demand (Apr 2026),2026-04-19T06:16:14.563614,2026-04-19T06:16:14.563616
50,Copy (of document),Impanga-shusho,You will receive a signed copy of this consent form.,Uraza gushyikirizwa impanga-shusho iriho itariki n'umukono by'iyi fishi.,'Impanga-shusho' = impanga (replica/duplicate) + ishusho (image/likeness). 'Image replica.',Administrative,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.332843,2026-04-02T21:37:11.332845
28,Cross-sectional study,Inyigo mfatashushorusange ngambiriragihe,This is a cross-sectional study measuring prevalence at one point in time.,Ubu bushakashatsi ni inyigo mfatashushorusange ngambiriragihe igamije kumenya ubwiganze.,A double neologism. 'Mfatashushorusange' = mfata (capture) + ishusho (picture) + rusange (general). 'Ngambiriragihe' = at one point in time.,Research Methodology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.288559,2026-04-02T21:37:11.288562
34,Data collector,Umukusanyamakuru,The data collector will read each question to the participant.,Umukusanyamakuru azasomera ibibazo buri mutangamakuru.,'Umukusanyamakuru' = u-mu-kusanya (one who gathers) + amakuru (information/data).,Research Methodology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.297225,2026-04-02T21:37:11.297227
12,Depression,Agahinda gakabije,Depression can significantly affect treatment adherence.,Agahinda gakabije gashobora kugira ingaruka ku myitwarire nyubahirizamiti ikwiye.,"'Agahinda' uses the diminutive prefix aga- on the root -hinda (sadness), and 'gakabije' (severe/extreme) elevates it to a clinical condition.",Mental Health,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.258433,2026-04-02T21:37:11.258435
2,Diabetes,Diyabete / Indwara y'igisukari,Diabetes requires careful management of blood sugar levels.,Diyabete isaba kwitaho neza urwego rw'isukari mu maraso.,"'Indwara y'igisukari' literally translates to 'disease of sugar,' which accurately captures the core characteristic of diabetes — the body's inability to regulate blood sugar.",Endocrinology,Christophe Mumaragishyika,Original starter terms,2026-04-02T21:37:11.240084,2026-04-02T21:37:11.240087
10,Diarrhea,Impiswi,Diarrhea in children can lead to severe dehydration.,Impiswi mu bana zishobora gutera kubura amazi mu mubiri bikabije.,The standard Kinyarwanda term used across community health and clinical settings.,Gastroenterology,Christophe Mumaragishyika,Original starter terms,2026-04-02T21:37:11.255575,2026-04-02T21:37:11.255577
60,Disease prevention,Kwirinda indwara,That prevention is necessary because you never know from which source it may come.,Ubwo bwirinzi nabwo burakenewe kuko ntuba uzi aho izaturuka.,'Kwirinda' = to protect oneself / to prevent. Reflexive verb — the -i- infix signals self-directed action.,Public Health,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.345649,2026-04-02T21:37:11.345650
97,Division / Department,Ishami nshingwabikorwa,I work in the Division of Clinical Medicine.,Nkorera mu ishami nshingwabikorwa rishinzwe abakozi.,'Ishami' = branch/division. 'Nshingwabikorwa' = assigned operations/responsibilities. Established institutional term.,Institutional,Christophe Mumaragishyika,"SP/PEDS letter (Khris translation, 2025)",2026-04-19T06:16:14.606052,2026-04-19T06:16:14.606054
74,Doctor / Physician,Umuganga,The doctor examined the patient carefully.,Umuganga yasuzumye umurwayi yitonze.,Established Kinyarwanda term used universally across all clinical contexts in Rwanda.,General Medicine,Christophe Mumaragishyika,"SP/PEDS letter (Khris translation, 2025)",2026-04-19T06:16:14.537372,2026-04-19T06:16:14.537377
23,Emergency treatment,Ubutabizi ndengerabuzima bwihuse,Emergency treatment and follow-up care will be provided as needed.,Ubutabizi ndengerabuzima bwihuse no gukurikiranwa uko bikwiriye bizatangwa.,'Ubutabizi' means treatment/care. 'Ndengerabuzima' compounds ndengera (emergency/crisis) + ubuzima (health). 'Bwihuse' means urgent/rapid.,Emergency Medicine,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.271843,2026-04-02T21:37:11.271845
17,Emotional distress,Ibyiyumviro nyegerezwamutima,"Given the sensitive nature of mental health, participants may experience emotional distress.",Hashingiwe k'uko guhangayika bikabije n'agahinda gakabije ari ibyiyumviro nyegerezwamutima.,'Ibyiyumviro' means feelings/emotions. 'Nyegerezwamutima' is a poetic compound: nyegerezo (pressing close) + umutima (heart).,Mental Health,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.264127,2026-04-02T21:37:11.264129
38,Ethical approval,Uburenganzira nyemezabushakashatsi,The project received ethical approval from the UGHE IRB.,Ubushakashatsi bwahawe uburenganzira nyemezabushakashatsi na UGHE.,'Uburenganzira' = rights/authorization. 'Nyemezabushakashatsi' = nyemeza (approve) + ubushakashatsi (research).,Research Methodology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.304489,2026-04-02T21:37:11.304491
8,Fever,Umuriro,The child has a high fever and should be taken to the clinic.,"Umwana afite umuriro ukomeye, agomba kujyanwa ku ivuriro.",'Umuriro' literally means 'fire' — the body burning with elevated temperature. This metaphor is shared across many languages.,General Medicine,Christophe Mumaragishyika,Original starter terms,2026-04-02T21:37:11.253177,2026-04-02T21:37:11.253179
22,First aid,Ubutabazi bw'ibanze,First aid will be provided in case of injury during the study.,Ubutabazi bw'ibanze buzatangwa mu gihe habayeho gukomereka mu bushakashatsi.,'Ubutabazi' means help/rescue/assistance. 'Bw'ibanze' means 'of the first/basic kind.',Emergency Medicine,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.270445,2026-04-02T21:37:11.270447
24,Follow-up care,Gukurikiranwa uko bikwiriye,Patients with chronic conditions require regular follow-up care.,Abarwayi b'indwara zidakira bakeneye gukurikiranwa uko bikwiriye buri gihe.,'Gukurikiranwa' is the passive form of gukurikirana (to follow up/monitor). 'Uko bikwiriye' means 'as is proper/appropriate.',Clinical Practice,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.273381,2026-04-02T21:37:11.273383
80,Gall bladder,Agasabo k'indurwe,,,'Indurwe' means bile. 'Agasabo' means a small bag — which is the apparent role of the gall bladder: to store bile.,Anatomy,Christophe Mumaragishyika,Search log demand (Apr 2026),2026-04-19T06:16:14.557477,2026-04-19T06:16:14.557479
75,Headache,Kuribwa n'umutwe / Kuribwa umutwe / Kubabara umutwe,,,,Neurology / Symptoms,Christophe Mumaragishyika,Search log demand (Apr 2026),2026-04-19T06:16:14.540444,2026-04-19T06:16:14.540448
69,Health advice / Medical counseling,Inama z'ubuzima,Especially in advice... and also about medical care.,Cyane cyane ku nama... nibijyanye no kwivuza.,'Inama' = advice/counsel. 'Z'ubuzima' = of health. Patients overwhelmingly identify the need for health advice as their primary unmet need.,Health Systems,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.357043,2026-04-02T21:37:11.357045
65,Health behavior / Lifestyle conduct,Imyifatire,They tell me how I should behave and how I should eat.,Bambwire uko ngomba kwitwara nuko ngomba kurya.,"From 'kwifata' = to conduct oneself. 'Imyifatire' = manner of self-conduct. In diabetes context, encompasses diet, medication adherence, exercise, and all behavioral management.",Public Health,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.352232,2026-04-02T21:37:11.352233
20,Health center,Ikigo nderabuzima,The study was conducted at health centers in three districts.,Ubushakashatsi bwakorerwe mu bigo nderabuzima byo mu turere dutatu.,'Ikigo' means center/institution. 'Nderabuzima' is a compound: ndera (to oversee/look after) + ubuzima (health).,Health Systems,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.268021,2026-04-02T21:37:11.268023
73,Health follow-up / Medical monitoring,Gukurikirana ubuzima,Maybe I would have a health follow-up and then tell me where to get medications.,Wenda mwajya munkurikirana mukareba ko mwandangira cyangwa mwampa imiti ngomba gukoresha.,"'Gukurikirana' = to follow up / to track / to monitor. 'Ubuzima' = health. Describes the active, ongoing process of medical monitoring.",Clinical Practice,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.362782,2026-04-02T21:37:11.362785
87,Health management,Igenamigambi ncungamikorere mu buvuzi,,,"'Igenamigambi' from 'kugena imigambi' = planning. 'Ncungamikorere' = leading operations. Health management involves leading, planning, and coordinating medical services, focusing on operational efficiency, staff management, and patient outcomes.",Health Systems,Christophe Mumaragishyika,Community suggestion — Benithe Himbazwa (UGHE student),2026-04-19T06:16:14.576180,2026-04-19T06:16:14.576182
70,Healthcare assistance / Medical support,Ubwunganizi bwita ku buzima / Ubwunganizi mu kuvurwa,In which side do you need further assistance?,Ni mu ruhe ruhande ukeneye ubwunganizi bwita ku buzima bwisumbuye ho?,'Ubwunganizi' = support/assistance (from 'kunganira' = to support). 'Bwita ku buzima' = that cares for health. 'Mu kuvurwa' = in being treated.,Health Systems,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.358342,2026-04-02T21:37:11.358344
25,Healthcare professional,Inzobere zikurikirana ubuzima,Participants may consult with healthcare professionals before deciding to participate.,Abagize uruhare bashobora kugisha inama inzobere zikurikirana ubuzima mbere yo gufata umwanzuro.,'Inzobere' means expert/specialist. 'Zikurikirana ubuzima' means 'who follow/monitor health.',Health Systems,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.275226,2026-04-02T21:37:11.275228
64,Herbal remedies / Traditional medicine,Ubuvuzi gakondo,Other patients told me they now use herbal remedies.,Abandi bayirwaye bakambwira bati dusigaye dukoresha imiti ikomoka ku bimera.,"'Imiti ikomoka ku bimera' = medicine that comes from plants. 'Ubuvuzi bukoresha imiti gakondo' = treatment using traditional medicine. 'Gakondo' = traditional, reflecting that traditional medication was based on herbal remedies.",Traditional Medicine,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.350521,2026-04-02T21:37:11.350523
56,High blood glucose (Hyperglycemia),Isukari nyinshi mu maraso,"My blood sugar increased too much, I am no longer able to do anything for myself.","Isukari yambanyemo nyinshi cyane, ntakintu nkibasha kwikorera.","'Nyinshi' = much/many/high. The opposite of 'nke.' Patients describe severity through intensifiers: 'nyinshi' (high), 'nyinshi cyane' (very high).",Endocrinology,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.340387,2026-04-02T21:37:11.340389
94,Holistic development,Kurera,We value your school's role in the holistic development of your students.,Duha agaciro kenshi uruhare mugira mu kurera abanyeshuri b'ikigo muyobora.,"'Kurera' = to raise/nurture. The verb encompasses the full range of physical, intellectual, and moral development — making it a natural fit for 'holistic development' in educational contexts.",Education / Pediatrics,Christophe Mumaragishyika,"SP/PEDS letter (Khris translation, 2025)",2026-04-19T06:16:14.595030,2026-04-19T06:16:14.595032
98,How are you feeling today,Uyu munsi murumva mumerewe mute?,,,,Clinical Phrases,Christophe Mumaragishyika,Search log demand (Apr 2026),2026-04-19T06:16:14.609996,2026-04-19T06:16:14.609998
1,Hypertension,Umuvuduko w'amaraso,The patient was diagnosed with hypertension.,Umurwayi yasuzumwe afite umuvuduko w'amaraso.,"'Umuvuduko' means pressure or force, 'w'amaraso' means of the blood — literally 'pressure of the blood.'",Cardiology,Christophe Mumaragishyika,Original starter terms,2026-04-02T21:37:11.237305,2026-04-02T21:37:11.237309
71,Information dissemination / Health sensitization,Gusakaza amakuru,Which adequate means should be used to disseminate needed information?,Ni ubuhe buryo buboneye bwifashishwa mu gusakaza amakuru akenewe?,'Gusakaza' = to scatter/spread/disseminate. 'Amakuru' = information/news. A precise verb for health communication campaigns.,Public Health,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.359797,2026-04-02T21:37:11.359799
40,Informed consent,Itangaburenganzira ku itangamakuru mu bushakashatsi,Informed consent must be obtained before any research procedures begin.,Itangaburenganzira ku itangamakuru mu bushakashatsi rigomba kubanza guhabwa.,'Itangaburenganzira' = itanga (giving) + uburenganzira (rights). Captures the dual nature of informed consent.,Research Ethics,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.311450,2026-04-02T21:37:11.311452
39,Institutional Review Board (IRB),Itsinda ngenzurabushakashatsi,The IRB reviewed and approved the research protocol.,Itsinda ngenzurabushakashatsi ryasuzumye kandi ryemeza ubushakashatsi.,'Itsinda' = group/committee. 'Ngenzurabushakashatsi' = ngenzura (oversee/review) + ubushakashatsi (research).,Research Methodology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.307782,2026-04-02T21:37:11.307784
26,Insurance carrier,Ubwishingizi bw'ubuzima,Your insurance carrier may be billed for the cost of treatment.,Ubwishingizi bw'ubuzima bwawe bushobora kwishyura ikiguzi cy'ubuvuzi.,'Ubwishingizi' means protection/guarantee/insurance. 'Bw'ubuzima' means 'of health.',Health Systems,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.276828,2026-04-02T21:37:11.276831
86,Interview (research methodology),Ikiganiro mbona-nkubone,,,"Interviewing involves asking questions face to face and exchanging speech. 'Kuganira' = holding a talk. 'Mbona-nkubone' = live, face to face.",Research Methodology,Christophe Mumaragishyika,Community suggestion — Benithe Himbazwa (UGHE student),2026-04-19T06:16:14.573886,2026-04-19T06:16:14.573888
76,Liver,Umwijima,,,,Anatomy,Christophe Mumaragishyika,Search log demand (Apr 2026),2026-04-19T06:16:14.544382,2026-04-19T06:16:14.544385
55,Low blood glucose (Hypoglycemia),Isukari nke mu maraso,In addressing the problem of having low blood glucose level...,Mu gukurikirana ingorane zo kugira isukari nke mu maraso...,'Nke' = little/insufficient. Adding 'nke' to the base term creates the hypoglycemia concept through simple adjectival modification — no borrowing needed.,Endocrinology,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.339276,2026-04-02T21:37:11.339278
3,Malaria,Malariya,Malaria is transmitted through mosquito bites.,Malariya ikwirakwizwa n'umubu.,The term 'Malariya' is a direct phonetic adaptation from the international medical term. It is universally understood in Rwandan health contexts.,Infectious Disease,Christophe Mumaragishyika,Original starter terms,2026-04-02T21:37:11.241578,2026-04-02T21:37:11.241580
100,Medical appointment,Gahunda yo kubonana na muganga,,,,Health Systems,Christophe Mumaragishyika,Search log demand (Apr 2026),2026-04-19T06:16:14.619199,2026-04-19T06:16:14.619201
89,Medical training program,Gahunda y'uburezi nderabaganga n'abavuzi,This educational activity is a valuable component of our medical training program.,Uyu mukoro ni ingenzi mu bigize gahunda y'uburezi nderabaganga n'abavuzi.,'Gahunda' = program. 'Uburezi' = education. 'Nderabaganga' compounds 'ndera' (oversee) + 'abaganga' (doctors). Same -ndera- pattern as 'ikigo nderabuzima' (health center).,Medical Education,Christophe Mumaragishyika,"SP/PEDS letter (Khris translation, 2025)",2026-04-19T06:16:14.581432,2026-04-19T06:16:14.581435
63,Medication,Imiti,I need medications that require much money.,Nkeneye imiti isaba amafaranga menshi.,Plural of 'umuti' (medicine/drug). Universal term across all clinical contexts in Kinyarwanda.,Clinical Practice,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.349326,2026-04-02T21:37:11.349328
15,Mental health,Ubuzima bwo mu mutwe,Integrating mental health services into primary care is essential.,Kongera serivisi zita ku buzima bwo mu mutwe muri serivizi z'ubuvuzi rusange z'ibanze ni ngombwa.,"'Ubuzima' means health, 'bwo mu mutwe' means 'of the head/mind.' The anatomical metaphor locates the concept physically.",Mental Health,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.261777,2026-04-02T21:37:11.261779
51,Ministry of Health,Minisiteri y'ubuzima,The results will inform decision-making within the Ministry of Health.,Ibizava muri ubu bushakashatsi bizafasha mu ifatwa ry'ibyemezo muri Minisiteri y'ubuzima.,'Minisiteri' borrowed from French 'ministere.' 'Y'ubuzima' = of health.,Institutional,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.333927,2026-04-02T21:37:11.333929
14,Non-communicable disease,Indwara zitandura,Non-communicable diseases are a growing health concern in Rwanda.,Indwara zitandura ni ikibazo cy'ubuzima kigenda gikura mu Rwanda.,"'Indwara' means diseases, 'zitandura' uses the negative prefix zi- on -tandura (to spread/transmit). Literally 'diseases that do not spread.'",Public Health,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.260722,2026-04-02T21:37:11.260724
7,Omphalotomy,Kugenya,The midwife performed the omphalotomy immediately after delivery.,Umubyaza yakoze kugenya ako kanya nyuma yo kubyara.,'Kugenya' refers specifically to the act of cutting the umbilical cord — one of the oldest surgical acts in human experience. Kinyarwanda captures it with a dedicated verb rather than borrowing from medical Latin.,Obstetrics,Christophe Mumaragishyika,Original starter terms,2026-04-02T21:37:11.251497,2026-04-02T21:37:11.251500
85,Palliative care,Ubuvuzi mpozaburibwe / Ubufasha nyunganiramibereho,,,"'Mpoza' from 'guhoza/guturisha' (to comfort). 'Buribwe' from 'uburibwe' (pain). Palliative care is a medical specialty focused on comfort while treating serious illness — fixing physical discomfort, easing the mind. 'Nyunganiramibereho' = supporting quality of life.",Clinical Practice,Christophe Mumaragishyika,Community suggestion — Mugenzi (UGHE),2026-04-19T06:16:14.571649,2026-04-19T06:16:14.571652
81,Pancreas,Urwagashya,,,,Anatomy,Christophe Mumaragishyika,Search log demand (Apr 2026),2026-04-19T06:16:14.559895,2026-04-19T06:16:14.559897
32,Participant,Umutangamakuru,Each participant will be assigned a unique identification number.,Buri mutangamakuru azahabwa nimero imuranga yihariye.,'Umutangamakuru' = u-mu-tanga (one who gives) + amakuru (information). 'One who gives information.',Research Methodology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.293308,2026-04-02T21:37:11.293310
52,Partners in Health / Inshuti Mu Buzima (PIH/IMB),Inshuti Mu Buzima (IMB),This study is being carried out in collaboration with Partners in Health.,Ubu bushakashatsi buri gukorwa ku bufatanye n'umuryango w'Inshuti Mu Buzima.,'Inshuti' = friends/partners. 'Mu Buzima' = in health. A semantic translation of the organization name.,Institutional,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.335556,2026-04-02T21:37:11.335558
46,Password,Ijambobanga,Data will be stored on a password-protected computer.,Amakuru azabikwa muri mudasobwa irinzwe n'ijambobanga.,'Ijambobanga' = ijambo (word) + ibanga (secret). 'Word of secrecy.',Technology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.326773,2026-04-02T21:37:11.326775
27,Patient,Umurwayi,The patient should be informed of all risks before consenting.,Umurwayi agomba kumenyeshwa ingorane zose mbere yo kwemera.,From 'kurwara' meaning 'to be ill/sick.' 'Umurwayi' is an agent noun — 'one who is ill.',General Medicine,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.286837,2026-04-02T21:37:11.286840
92,Patient-centered care,Imivurire ishingiye ku mikoranire y'umuganga n'umurwayi,Standardized patient sessions help train students in patient-centered care.,Imikoro y'umurwayi mfashamibarize ifasha gutoza abanyeshuri gukoresha imivurire ishingiye ku mikoranire y'abaganga n'abarwayi.,"'Imivurire' = care/treatment approach. 'Ishingiye ku mikoranire' = based on the interaction/collaboration. 'Y'umuganga n'umurwayi' = between doctor and patient. Captures the collaborative, patient-centered dimension.",Clinical Practice,Christophe Mumaragishyika,"SP/PEDS letter (Khris translation, 2025)",2026-04-19T06:16:14.590353,2026-04-19T06:16:14.590355
21,Physical injury,Gukomereka ku mubiri,"If physical injury occurs as a result of participation, medical treatment will be available.","Mu gihe habayeho gukomereka ku mubiri nk'ingaruka yo kugira uruhare, ubuvuzi burahari.",'Gukomereka' means to be hurt/injured. 'Ku mubiri' means 'on the body.',General Medicine,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.269287,2026-04-02T21:37:11.269289
77,Pneumonia,Umusonga,,,,Pulmonology,Christophe Mumaragishyika,Search log demand (Apr 2026),2026-04-19T06:16:14.548462,2026-04-19T06:16:14.548465
68,Poverty (as a barrier to healthcare),Ubukene (nk'imbogamizi),The prevailing obstacle is actually that poverty.,Imbogamizi iba ihari ni ubwo bukene nyine.,From 'gukena' = to be poor/lacking. 'Ubukene' = poverty/destitution. 'Nk'imbogamizi' = as an obstacle. Repeatedly cited by patients as the primary barrier to diabetes management.,Social Determinants,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.355704,2026-04-02T21:37:11.355706
5,Pregnancy,Gutwita / Inda,Regular check-ups during pregnancy are important.,Gusuzumwa buri gihe mu gihe cy'inda ni ngombwa.,"'Gutwita' is the verb 'to be pregnant,' while 'inda' refers to the pregnancy or the womb itself. Both are used interchangeably depending on context.",Maternal Health,Christophe Mumaragishyika,Original starter terms,2026-04-02T21:37:11.246739,2026-04-02T21:37:11.246742
